2019-07-09 15:50:35 | [method_POST] | (APIMethods.java:19) | REQUEST-URL:POST-http://localhost:51544/v1/orders
2019-07-09 15:50:35 | [method_POST] | (APIMethods.java:20) | REQUEST-BODY:{"stops":[{"lng":114.124651,"lat":22.344674},{"lng":114.182446,"lat":22.375384},{"lng":114.186962,"lat":22.385669}]}
2019-07-09 15:50:35 | [method_POST] | (APIMethods.java:27) | RESPONSE:{"id":145,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:35 | [verify_takeOrderToEndPoint_validData] | (TakeTheOrderEndpoint.java:33) | RESPONSE:{"id":145,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:35 | [verify_takeOrderToEndPoint_validData] | (TakeTheOrderEndpoint.java:40) | Created New Order - ID - 145
2019-07-09 15:50:35 | [method_GET] | (APIMethods.java:37) | REQUEST-URL:POST-http://localhost:51544/v1/orders/145
2019-07-09 15:50:35 | [method_GET] | (APIMethods.java:43) | RESPONSE:{"id":145,"stops":[{"lat":22.344674,"lng":114.124651},{"lat":22.375384,"lng":114.182446},{"lat":22.385669,"lng":114.186962}],"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"},"status":"ASSIGNING","orderDateTime":"2019-07-09T10:20:35Z","createdTime":"2019-07-09T10:20:35Z"}

2019-07-09 15:50:35 | [verify_takeOrderToEndPoint_validData] | (TakeTheOrderEndpoint.java:48) | RESPONSE:{"id":145,"stops":[{"lat":22.344674,"lng":114.124651},{"lat":22.375384,"lng":114.182446},{"lat":22.385669,"lng":114.186962}],"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"},"status":"ASSIGNING","orderDateTime":"2019-07-09T10:20:35Z","createdTime":"2019-07-09T10:20:35Z"}

2019-07-09 15:50:35 | [method_PUT] | (APIMethods.java:53) | REQUEST-URL:POST-http://localhost:51544/v1/orders/145/take
2019-07-09 15:50:35 | [method_PUT] | (APIMethods.java:61) | RESPONSE:{"id":145,"status":"ONGOING","ongoingTime":"2019-07-09T10:20:35.4165187Z"}

2019-07-09 15:50:35 | [verify_takeOrderToEndPoint_validData] | (TakeTheOrderEndpoint.java:59) | RESPONSE:{"id":145,"status":"ONGOING","ongoingTime":"2019-07-09T10:20:35.4165187Z"}

2019-07-09 15:50:35 | [method_PUT] | (APIMethods.java:53) | REQUEST-URL:POST-http://localhost:51544/v1/orders/1562667635/take
2019-07-09 15:50:35 | [method_PUT] | (APIMethods.java:61) | RESPONSE:{"message":"ORDER_NOT_FOUND"}

2019-07-09 15:50:35 | [method_POST] | (APIMethods.java:19) | REQUEST-URL:POST-http://localhost:51544/v1/orders
2019-07-09 15:50:35 | [method_POST] | (APIMethods.java:20) | REQUEST-BODY:{"stops":[{"lng":114.124651,"lat":22.344674},{"lng":114.182446,"lat":22.375384},{"lng":114.186962,"lat":22.385669}]}
2019-07-09 15:50:35 | [method_POST] | (APIMethods.java:27) | RESPONSE:{"id":146,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:35 | [verify_CompleteOrder_validData] | (CompleteOrder.java:34) | RESPONSE:{"id":146,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:35 | [verify_CompleteOrder_validData] | (CompleteOrder.java:41) | Created New Order - ID - 146
2019-07-09 15:50:35 | [method_PUT] | (APIMethods.java:53) | REQUEST-URL:POST-http://localhost:51544/v1/orders/146/take
2019-07-09 15:50:35 | [method_PUT] | (APIMethods.java:61) | RESPONSE:{"id":146,"status":"ONGOING","ongoingTime":"2019-07-09T10:20:35.7300961Z"}

2019-07-09 15:50:35 | [verify_CompleteOrder_validData] | (CompleteOrder.java:48) | RESPONSE:{"id":146,"status":"ONGOING","ongoingTime":"2019-07-09T10:20:35.7300961Z"}

2019-07-09 15:50:35 | [method_PUT] | (APIMethods.java:53) | REQUEST-URL:POST-http://localhost:51544/v1/orders/146/complete
2019-07-09 15:50:35 | [method_PUT] | (APIMethods.java:61) | RESPONSE:{"id":146,"status":"COMPLETED","completedAt":"2019-07-09T10:20:35.7649513Z"}

2019-07-09 15:50:35 | [verify_CompleteOrder_validData] | (CompleteOrder.java:58) | RESPONSE:{"id":146,"status":"COMPLETED","completedAt":"2019-07-09T10:20:35.7649513Z"}

2019-07-09 15:50:35 | [method_PUT] | (APIMethods.java:53) | REQUEST-URL:POST-http://localhost:51544/v1/orders/1562667635/complete
2019-07-09 15:50:35 | [method_PUT] | (APIMethods.java:61) | RESPONSE:{"message":"ORDER_NOT_FOUND"}

2019-07-09 15:50:35 | [method_POST] | (APIMethods.java:19) | REQUEST-URL:POST-http://localhost:51544/v1/orders
2019-07-09 15:50:35 | [method_POST] | (APIMethods.java:20) | REQUEST-BODY:{"stops":[{"lng":114.124651,"lat":22.344674},{"lng":114.182446,"lat":22.375384},{"lng":114.186962,"lat":22.385669}]}
2019-07-09 15:50:36 | [method_POST] | (APIMethods.java:27) | RESPONSE:{"id":147,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:36 | [verify_voilatedFlow_cancelToComplete] | (CompleteOrder.java:89) | RESPONSE:{"id":147,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:36 | [verify_voilatedFlow_cancelToComplete] | (CompleteOrder.java:96) | Created New Order - ID - 147
2019-07-09 15:50:36 | [method_PUT] | (APIMethods.java:53) | REQUEST-URL:POST-http://localhost:51544/v1/orders/147/cancel
2019-07-09 15:50:36 | [method_PUT] | (APIMethods.java:61) | RESPONSE:{"id":147,"status":"CANCELLED","cancelledAt":"2019-07-09T10:20:36.1287792Z"}

2019-07-09 15:50:36 | [method_PUT] | (APIMethods.java:53) | REQUEST-URL:POST-http://localhost:51544/v1/orders/147/complete
2019-07-09 15:50:36 | [method_PUT] | (APIMethods.java:61) | RESPONSE:{"message":"Order status is not ONGOING"}

2019-07-09 15:50:36 | [method_POST] | (APIMethods.java:19) | REQUEST-URL:POST-http://localhost:51544/v1/orders
2019-07-09 15:50:36 | [method_POST] | (APIMethods.java:20) | REQUEST-BODY:{"stops":[{"lng":114.124651,"lat":22.344674},{"lng":114.182446,"lat":22.375384},{"lng":114.186962,"lat":22.385669}]}
2019-07-09 15:50:36 | [method_POST] | (APIMethods.java:27) | RESPONSE:{"id":148,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:36 | [verify_CompleteOrder_assigningToComplete] | (CompleteOrder.java:120) | RESPONSE:{"id":148,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:36 | [verify_CompleteOrder_assigningToComplete] | (CompleteOrder.java:127) | Created New Order - ID - 148
2019-07-09 15:50:36 | [method_PUT] | (APIMethods.java:53) | REQUEST-URL:POST-http://localhost:51544/v1/orders/148/complete
2019-07-09 15:50:36 | [method_PUT] | (APIMethods.java:61) | RESPONSE:{"message":"Order status is not ONGOING"}

2019-07-09 15:50:36 | [verify_CompleteOrder_assigningToComplete] | (CompleteOrder.java:134) | RESPONSE:{"message":"Order status is not ONGOING"}

2019-07-09 15:50:36 | [method_POST] | (APIMethods.java:19) | REQUEST-URL:POST-http://localhost:51544/v1/orders
2019-07-09 15:50:36 | [method_POST] | (APIMethods.java:20) | REQUEST-BODY:{"stops":[{"lng":114.124651,"lat":22.344674},{"lng":114.182446,"lat":22.375384},{"lng":114.186962,"lat":22.385669}]}
2019-07-09 15:50:36 | [method_POST] | (APIMethods.java:27) | RESPONSE:{"id":149,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:36 | [verify_CancelOrder] | (CancelOrder.java:81) | RESPONSE:{"id":149,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

2019-07-09 15:50:36 | [verify_CancelOrder] | (CancelOrder.java:88) | Created New Order - ID - 149
2019-07-09 15:50:36 | [method_PUT] | (APIMethods.java:53) | REQUEST-URL:POST-http://localhost:51544/v1/orders/149/cancel
2019-07-09 15:50:36 | [method_PUT] | (APIMethods.java:61) | RESPONSE:{"id":149,"status":"CANCELLED","cancelledAt":"2019-07-09T10:20:36.7081591Z"}

2019-07-09 15:50:36 | [verify_CancelOrder] | (CancelOrder.java:96) | RESPONSE:{"id":149,"status":"CANCELLED","cancelledAt":"2019-07-09T10:20:36.7081591Z"}

2019-07-09 15:50:36 | [method_POST] | (APIMethods.java:19) | REQUEST-URL:POST-http://localhost:51544/v1/orders
2019-07-09 15:50:36 | [method_POST] | (APIMethods.java:20) | REQUEST-BODY:{"stops":[{"lng":114.124651,"lat":22.344674},{"lng":114.182446,"lat":22.375384},{"lng":114.186962,"lat":22.385669}]}
2019-07-09 15:50:36 | [method_POST] | (APIMethods.java:27) | RESPONSE:{"id":150,"drivingDistancesInMeters":[10600,3081],"fare":{"amount":"312.02","currency":"HKD"}}

